,Unnamed: 0,type_of_Vehicle,names,price,depreciation,reg_Date,mileage,road_Tax,dereg_Value,COE,engine_Cap,curb_Weight,transmission,OMV,ARF,fuel_Type,down_Payment,interest_Rate, loan_Term
10,10,Truck,Mitsubishi Fuso Canter FEB21,"$47,800","$19,110 /yr
View models with similar depre","15-Oct-2015
(2yrs 5mths 29days COE left)",N.A.,N.A.,"$11,328 as of today (change)","$45,289","2,998 cc","2,500 kg",Auto,"$28,745","$1,438",['Diesel'],"4,780",3.4%,24 months
11,11,Mid-Sized Sedan,Kia Cerato 1.6A EX,"$78,000","$12,420 /yr
View models with similar depre","03-Jan-2019
(5yrs 8mths 18days COE left)","88,000 km (20.6k /yr)",$738 /yr,"$25,038 as of today (change)","$25,556","1,591 cc","1,287 kg",Auto,"$13,882","$13,882",,"23,400",2.28%,60 months
12,12,Sports Car,Porsche Cayman 2.7A Tip (COE till 06/2028),"$99,800","$19,150 /yr","30-Jun-2008
(5yrs 2mths 14days COE left)","57,112 km (3.9k /yr)","$3,027 /yr","$19,753 as of today (change)","$37,906","2,687 cc","1,435 kg",Auto,"$82,742","$82,742",,"29,940",3.25%,60 months
13,13,Sports Car,Honda Civic Type R 2.0M (COE till 06/2027),"$94,800","$22,660 /yr","21-Jun-2007
(4yrs 2mths 5days COE left)","188,000 km (11.9k /yr)","$1,815 /yr","$22,628 as of today (change)","$54,088","1,998 cc","1,270 kg",Manual,"$27,173","$29,891",,"28,440",3.25%,48 months
14,14,MPV,Mazda Biante 2.0A,"$64,800","$17,600 /yr
View models with similar depre","19-May-2016
(3yrs 1mth 3days COE left)","100,000 km (14.5k /yr)","$1,210 /yr","$29,265 as of today (change)","$51,010","1,998 cc","1,664 kg",Auto,"$20,535","$20,749",,"19,440",2.28%,36 months
15,15,Hatchback,Volkswagen Golf 1.4A TSI Comfortline,"$92,988","$14,320 /yr
View models with similar depre","31-Jan-2019
(5yrs 9mths 15days COE left)","56,100 km (13.3k /yr)",$624 /yr,"$30,107 as of today (change)","$26,170","1,395 cc","1,270 kg",Auto,"$19,904","$19,904",,"27,896",2.98%,60 months
16,16,Sports Car,Mercedes-Benz SLK-Class SLK200ML (COE till 04/2029),"$59,800",N.A.,"26-Dec-2000
(6yrs 15days COE left)",N.A.,"$1,815 /yr",N.A.,"$35,411","1,998 cc",N.A.,Auto,"$43,842","$61,379",,"17,940",3.25%,72 months
17,17,MPV,Honda Odyssey 2.4A EXV-S Sunroof,"$84,000","$19,670 /yr
View models with similar depre","26-Aug-2016
(3yrs 4mths 10days COE left)","81,734 km (12.3k /yr)","$1,630 /yr","$42,663 as of today (change)","$57,903","2,356 cc","1,855 kg",Auto,"$31,189","$35,665",,"25,200",2.28%,36 months
18,18,SUV,Honda Vezel 1.5A X,"$53,800","$13,990 /yr
View models with similar depre","08-Sep-2016
(3yrs 4mths 23days COE left)",N.A.,$682 /yr,"$26,128 as of today (change)","$53,000","1,496 cc","1,190 kg",Auto,"$21,767","$12,474",,"16,140",2.28%,36 months
19,19,Sports Car,MINI Cooper S 1.6A Sunroof (COE till 08/2030),"$82,800","$11,220 /yr","30-Aug-2010
(7yrs 4mths 14days COE left)",N.A.,$965 /yr,"$23,750 as of today (change)","$32,190","1,598 cc","1,155 kg",Auto,"$28,305","$28,305",,"24,840",3.25%,84 months
20,20,Luxury Sedan,Mercedes-Benz CLA-Class CLA200 AMG Line Premium Plus,"$247,988","$23,710 /yr
View models with similar depre","18-Aug-2022
(9yrs 4mths 2days COE left)",66 km,$586 /yr,"$139,527 as of today (change)","$107,001","1,332 cc","1,435 kg",Auto,"$43,336","$52,671",,"99,195",2.28%,84 months
21,21,Sports Car,Volkswagen Scirocco GP 1.4A TSI,"$73,000","$15,740 /yr
View models with similar depre","27-Apr-2017
(4yrs 11days COE left)","76,000 km (12.7k /yr)",$620 /yr,"$33,811 as of today (change)","$53,001","1,390 cc","1,245 kg",Auto,"$19,071","$19,071",,"21,900",2.28%,48 months
22,22,Hatchback,Volkswagen Golf 1.4A TSI R-Line Highline Sunroof,"$129,800","$15,250 /yr
View models with similar depre","23-Nov-2020
(7yrs 7mths 7days COE left)","14,885 km (6.2k /yr)",$624 /yr,"$49,308 as of today (change)","$37,690","1,395 cc","1,270 kg",Auto,"$25,354","$27,496",,"38,940",2.98%,84 months
